tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
17,83,80,5,0,4,4,4,4,2,2,4
17,83,80,5,1,4,4,4,4,2,2,4
17,83,80,5,2,4,4,4,4,2,2,4
17,83,80,5,3,4,4,4,4,2,2,4
17,83,80,5,4,4,4,4,4,2,2,4
17,83,80,5,5,4,4,4,4,2,2,4
17,83,80,5,6,4,4,4,4,2,2,4
17,83,80,5,7,4,4,4,4,2,2,4
17,83,80,5,8,4,4,4,4,2,2,4
17,83,81,0,0,4,4,4,4,2,2,4
17,83,81,0,1,4,4,4,4,2,2,4
17,83,81,0,2,4,4,4,4,2,2,4
17,83,81,0,3,4,4,4,4,2,2,4
17,83,81,0,4,4,4,4,4,2,2,4
17,83,81,0,5,4,4,4,4,2,2,4
17,83,81,0,6,4,4,4,4,2,2,4
17,83,81,0,7,4,4,4,4,2,2,4
17,83,81,0,8,4,4,4,4,2,2,4
17,83,81,1,0,4,4,4,4,2,2,4
17,83,81,1,1,4,4,4,4,2,2,4
17,83,81,1,2,4,4,4,4,2,2,4
17,83,81,1,3,4,4,4,4,2,2,4
17,83,81,1,4,4,4,4,4,2,2,4
17,83,81,1,5,4,4,4,4,2,2,4
17,83,81,1,6,4,4,4,4,2,2,4
17,83,81,1,7,4,4,4,4,2,2,4
17,83,81,1,8,4,4,4,4,2,2,4
17,83,81,2,0,4,4,4,4,2,2,4
17,83,81,2,1,4,4,4,4,2,2,4
17,83,81,2,2,4,4,4,4,2,2,4
17,83,81,2,3,4,4,4,4,2,2,4
17,83,81,2,4,4,4,4,4,2,2,4
17,83,81,2,5,4,4,4,4,2,2,4
17,83,81,2,6,4,4,4,4,2,2,4
17,83,81,2,7,4,4,4,4,2,2,4
17,83,81,2,8,4,4,4,4,2,2,4
17,83,81,3,0,4,4,4,4,2,2,4
17,83,81,3,1,4,4,4,4,2,2,4
17,83,81,3,2,4,4,4,4,2,2,4
17,83,81,3,3,4,4,4,4,2,2,4
17,83,81,3,4,4,4,4,4,2,2,4
17,83,81,3,5,4,4,4,4,2,2,4
17,83,81,3,6,4,4,4,4,2,2,4
17,83,81,3,7,4,4,4,4,2,2,4
17,83,81,3,8,4,4,4,4,2,2,4
17,83,81,4,0,4,4,4,4,2,2,4
17,83,81,4,1,4,4,4,4,2,2,4
17,83,81,4,2,4,4,4,4,2,2,4
17,83,81,4,3,4,4,4,4,2,2,4
17,83,81,4,4,4,4,4,4,2,2,4
17,83,81,4,5,4,4,4,4,2,2,4
17,83,81,4,6,4,4,4,4,2,2,4
17,83,81,4,7,4,4,4,4,2,2,4
17,83,81,4,8,4,4,4,4,2,2,4
17,83,81,5,0,4,4,4,4,2,2,4
17,83,81,5,1,4,4,4,4,2,2,4
17,83,81,5,2,4,4,4,4,2,2,4
17,83,81,5,3,4,4,4,4,2,2,4
17,83,81,5,4,4,4,4,4,2,2,4
17,83,81,5,5,4,4,4,4,2,2,4
17,83,81,5,6,4,4,4,4,2,2,4
17,83,81,5,7,4,4,4,4,2,2,4
17,83,81,5,8,4,4,4,4,2,2,4
17,83,82,0,0,4,4,4,4,2,2,4
17,83,82,0,1,4,4,4,4,2,2,4
17,83,82,0,2,4,4,4,4,2,2,4
17,83,82,0,3,4,4,4,4,2,2,4
17,83,82,0,4,4,4,4,4,2,2,4
17,83,82,0,5,4,4,4,4,2,2,4
17,83,82,0,6,4,4,4,4,2,2,4
17,83,82,0,7,4,4,4,4,2,2,4
17,83,82,0,8,4,4,4,4,2,2,4
17,83,82,1,0,4,4,4,4,2,2,4
17,83,82,1,1,4,4,4,4,2,2,4
17,83,82,1,2,4,4,4,4,2,2,4
17,83,82,1,3,4,4,4,4,2,2,4
17,83,82,1,4,4,4,4,4,2,2,4
17,83,82,1,5,4,4,4,4,2,2,4
17,83,82,1,6,4,4,4,4,2,2,4
17,83,82,1,7,4,4,4,4,2,2,4
17,83,82,1,8,4,4,4,4,2,2,4
17,83,82,2,0,4,4,4,4,2,2,4
17,83,82,2,1,4,4,4,4,2,2,4
17,83,82,2,2,4,4,4,4,2,2,4
17,83,82,2,3,4,4,4,4,2,2,4
17,83,82,2,4,4,4,4,4,2,2,4
17,83,82,2,5,4,4,4,4,2,2,4
17,83,82,2,6,4,4,4,4,2,2,4
17,83,82,2,7,4,4,4,4,2,2,4
17,83,82,2,8,4,4,4,4,2,2,4
17,83,82,3,0,4,4,4,4,2,2,4
17,83,82,3,1,4,4,4,4,2,2,4
17,83,82,3,2,4,4,4,4,2,2,4
17,83,82,3,3,4,4,4,4,2,2,4
17,83,82,3,4,4,4,4,4,2,2,4
17,83,82,3,5,4,4,4,4,2,2,4
17,83,82,3,6,4,4,4,4,2,2,4
17,83,82,3,7,4,4,4,4,2,2,4
17,83,82,3,8,4,4,4,4,2,2,4
17,83,82,4,0,4,4,4,4,2,2,4
17,83,82,4,1,4,4,4,4,2,2,4
17,83,82,4,2,4,4,4,4,2,2,4
17,83,82,4,3,4,4,4,4,2,2,4
17,83,82,4,4,4,4,4,4,2,2,4
17,83,82,4,5,4,4,4,4,2,2,4
17,83,82,4,6,4,4,4,4,2,2,4
17,83,82,4,7,4,4,4,4,2,2,4
17,83,82,4,8,4,4,4,4,2,2,4
17,83,82,5,0,4,4,4,4,2,2,4
17,83,82,5,1,4,4,4,4,2,2,4
17,83,82,5,2,4,4,4,4,2,2,4
17,83,82,5,3,4,4,4,4,2,2,4
17,83,82,5,4,4,4,4,4,2,2,4
17,83,82,5,5,4,4,4,4,2,2,4
17,83,82,5,6,4,4,4,4,2,2,4
17,83,82,5,7,4,4,4,4,2,2,4
17,83,82,5,8,4,4,4,4,2,2,4
17,83,83,0,0,4,4,4,4,2,2,4
17,83,83,0,1,4,4,4,4,2,2,4
17,83,83,0,2,4,4,4,4,2,2,4
17,83,83,0,3,4,4,4,4,2,2,4
17,83,83,0,4,4,4,4,4,2,2,4
17,83,83,0,5,4,4,4,4,2,2,4
17,83,83,0,6,4,4,4,4,2,2,4
17,83,83,0,7,4,4,4,4,2,2,4
17,83,83,0,8,4,4,4,4,2,2,4
17,83,83,1,0,4,4,4,4,2,2,4
17,83,83,1,1,4,4,4,4,2,2,4
17,83,83,1,2,4,4,4,4,2,2,4
17,83,83,1,3,4,4,4,4,2,2,4
17,83,83,1,4,4,4,4,4,2,2,4
17,83,83,1,5,4,4,4,4,2,2,4
17,83,83,1,6,4,4,4,4,2,2,4
17,83,83,1,7,4,4,4,4,2,2,4
17,83,83,1,8,4,4,4,4,2,2,4
17,83,83,2,0,4,4,4,4,2,2,4
17,83,83,2,1,4,4,4,4,2,2,4
17,83,83,2,2,4,4,4,4,2,2,4
17,83,83,2,3,4,4,4,4,2,2,4
17,83,83,2,4,4,4,4,4,2,2,4
17,83,83,2,5,4,4,4,4,2,2,4
17,83,83,2,6,4,4,4,4,2,2,4
17,83,83,2,7,4,4,4,4,2,2,4
17,83,83,2,8,4,4,4,4,2,2,4
17,83,83,3,0,4,4,4,4,2,2,4
17,83,83,3,1,4,4,4,4,2,2,4
17,83,83,3,2,4,4,4,4,2,2,4
17,83,83,3,3,4,4,4,4,2,2,4
17,83,83,3,4,4,4,4,4,2,2,4
17,83,83,3,5,4,4,4,4,2,2,4
17,83,83,3,6,4,4,4,4,2,2,4
17,83,83,3,7,4,4,4,4,2,2,4
17,83,83,3,8,4,4,4,4,2,2,4
17,83,83,4,0,4,4,4,4,2,2,4
17,83,83,4,1,4,4,4,4,2,2,4
17,83,83,4,2,4,4,4,4,2,2,4
17,83,83,4,3,4,4,4,4,2,2,4
17,83,83,4,4,4,4,4,4,2,2,4
17,83,83,4,5,4,4,4,4,2,2,4
17,83,83,4,6,4,4,4,4,2,2,4
17,83,83,4,7,4,4,4,4,2,2,4
17,83,83,4,8,4,4,4,4,2,2,4
17,83,83,5,0,4,4,4,4,2,2,4
17,83,83,5,1,4,4,4,4,2,2,4
17,83,83,5,2,4,4,4,4,2,2,4
17,83,83,5,3,4,4,4,4,2,2,4
17,83,83,5,4,4,4,4,4,2,2,4
17,83,83,5,5,4,4,4,4,2,2,4
17,83,83,5,6,4,4,4,4,2,2,4
17,83,83,5,7,4,4,4,4,2,2,4
17,83,83,5,8,4,4,4,4,2,2,4
17,83,84,0,0,4,4,4,4,2,2,4
17,83,84,0,1,4,4,4,4,2,2,4
17,83,84,0,2,4,4,4,4,2,2,4
17,83,84,0,3,4,4,4,4,2,2,4
17,83,84,0,4,4,4,4,4,2,2,4
17,83,84,0,5,4,4,4,4,2,2,4
17,83,84,0,6,4,4,4,4,2,2,4
17,83,84,0,7,4,4,4,4,2,2,4
17,83,84,0,8,4,4,4,4,2,2,4
17,83,84,1,0,4,4,4,4,2,2,4
17,83,84,1,1,4,4,4,4,2,2,4
17,83,84,1,2,4,4,4,4,2,2,4
17,83,84,1,3,4,4,4,4,2,2,4
17,83,84,1,4,4,4,4,4,2,2,4
17,83,84,1,5,4,4,4,4,2,2,4
17,83,84,1,6,4,4,4,4,2,2,4
17,83,84,1,7,4,4,4,4,2,2,4
17,83,84,1,8,4,4,4,4,2,2,4
17,83,84,2,0,4,4,4,4,2,2,4
17,83,84,2,1,4,4,4,4,2,2,4
17,83,84,2,2,4,4,4,4,2,2,4
17,83,84,2,3,4,4,4,4,2,2,4
17,83,84,2,4,4,4,4,4,2,2,4
17,83,84,2,5,4,4,4,4,2,2,4
17,83,84,2,6,4,4,4,4,2,2,4
17,83,84,2,7,4,4,4,4,2,2,4
